description,name,poc,site,X,Y,long,lat,volts,p_nom,carrier,zone,island,build_year,operator,peaker
Waiotahi,Waiotahi,WAI0111,WAI,1968027,5783081,177.192307929493,-38.0252500612102,11,42.0,solar_pv,CNI,NI,2024,   Loadstone    Energy   ,0
Maungaturoto,Maungaturoto,MTO0331,MTO,1722370,6005584,174.35919071411,-36.0866654617863,33,21.0,solar_pv,UNI,NI,2024,   Purpose    Capital       ,0
Edgecumbe,Edgecumbe,EDG0331,EDG,1936285,5788677,176.828882677847,-37.9872585524475,33,32.0,solar_pv,CNI,NI,2024,   Loadstone    Energy   ,0
Bream Bay,Bream Bay,BRB0331,BRB,1733637,6031785,174.479885300541,-35.8490321606811,33,9.0,diesel,UNI,NI,2011,   Manawa    Energy   ,1
Argyle,Branch River (Arnold),ARG1101,ARG,1616836,5386748,173.202251099547,-41.670851040829,110,12.0,hydro,USI,SI,1983,   TrustPower    Ltd   ,0
Ashburton,Highbank,ASB0661,ASB,1503869,5133912,171.80214899733,-43.941637118694,66,28.0,hydro,USI,SI,1945,   TrustPower    Ltd   ,0
Aviemore,Aviemore,AVI2201,AVI,1390245,5051586,170.354334936338,-44.658443022394,220,220.0,hydro,LSI,SI,1968,   Meridian    Energy    Ltd   ,0
Aratiatia,Aratiatia,ARA2201,ARA,1873657,5721160,176.14303617727,-38.6158906223064,220,78.0,hydro,CNI,NI,1964,Mercury,0
Benmore,Benmore,BEN2202,BEN,1377144,5061473,170.193570606646,-44.565596295954,220,540.0,hydro,LSI,SI,1965,   Meridian    Energy    Ltd   ,0
Berwick,Waipori (2A/3/4),BWK1101,BWK,1375377,4908483,170.102172162037,-45.940469563127,110,74.0,hydro,LSI,SI,1902,   TrustPower    Ltd   ,0
Coleridge,Coleridge,COL0111,COL,1480658,5197735,171.527121928992,-43.363765600223,11,40.0,hydro,USI,SI,1914,   TrustPower    Ltd   ,0
Clyde,Clyde,CYD0331,CYD,1309790,4990370,169.306224442661,-45.180390510697,33,432.0,hydro,LSI,SI,1992,   Contact    Energy    Ltd   ,0
Gore,Kaiwera Downs,GOR0331,GOR,1284097,4885035,168.911652182194,-46.115091356129,33,43.0,wind,LSI,SI,2023,Mercury,0
Halfway Bush,Deep Stream (Waipori A),HWB0331,HWB,1404029,4918978,170.475699578603,-45.854874288616,33,26.0,hydro,LSI,SI,2008,   TrustPower    Ltd   ,0
Manapouri,Manapouri,MAN2201,MAN,1153098,4943235,167.277499839442,-45.520868262906,220,802.0,hydro,LSI,SI,1972,   Meridian    Energy    Ltd   ,0
Nth Makarewa,White Hill,NMA0331,NMA,1242677,4861547,168.359526981022,-46.305390884444,33,58.0,wind,LSI,SI,2007,   Meridian    Energy    Ltd   ,0
Naseby,Paerau Gorge,NSY0331,NSY,1371044,5009253,170.093352985891,-45.033180140981,33,12.5,hydro,LSI,SI,1984,   TrustPower    Ltd   ,0
Ohau A,Ohau A,OHA2201,OHA,1362883,5094304,170.029211643559,-44.265871740348,220,264.0,hydro,LSI,SI,1980,   Meridian    Energy    Ltd   ,0
Ohau B,Ohau B,OHB2201,OHB,1369516,5090545,170.110551103037,-44.301801310463,220,212.0,hydro,LSI,SI,1984,   Meridian    Energy    Ltd   ,0
Ohau C,Ohau C,OHC2201,OHC,1375175,5086098,170.17949166476,-44.343560905579,220,212.0,hydro,LSI,SI,1985,   Meridian    Energy    Ltd   ,0
Roxburgh,Roxburgh,ROX1101,ROX,1312313,4957442,169.319136074459,-45.477212911723,110,123.0,hydro,LSI,SI,1956,   Contact    Energy    Ltd   ,0
Stoke,Cobb,STK0331,STK,1620344,5426252,173.24305864003,-41.314941471011,33,32.0,hydro,USI,SI,1944,   TrustPower    Ltd   ,0
Tekapo A,Tekapo A,TKA0111,TKA,1396471,5123459,170.460853384948,-44.013807109617,11,25.0,hydro,LSI,SI,1951,   Genesis    Power    Ltd   ,0
Tekapo B,Tekapo B,TKB2201,TKB,1376922,5110445,170.211747584785,-44.125161280216,220,160.0,hydro,LSI,SI,1977,   Genesis    Power    Ltd   ,0
Waitaki,Waitaki,WTK0111,WTK,1396285,5048037,170.429028807013,-44.692099312963,11,95.0,hydro,LSI,SI,1935,   Meridian    Energy    Ltd   ,0
Arapuni,Arapuni,ARI1101,ARI,1831834,5782895,175.642919277763,-38.072025583227,110,84.0,hydro,CNI,NI,1929,   Mighty    River    Power    Ltd   ,0
Atiamuri,Atiamuri,ATI2201,ATI,1863994,5746271,176.022730360177,-38.392831331607,220,77.0,hydro,CNI,NI,1962,   Mighty    River    Power    Ltd   ,0
Bunnythorpe,Tararua stage II,BPE0331,BPE,1824481,5537751,175.640510120221,-40.280614262847,33,37.0,wind,LNI,NI,2004,   TrustPower    Ltd   ,0
Glenbrook, Glenbrook Steel,GLN0331,GLN,1753741,5880998,174.732478664612,-37.204839609313,33,68.0,gas,UNI,NI,1987,   Alinta    Ltd   ,0
Huntly,Huntly  5 ,HLY0331,HLY,1790105,5842869,175.151813110399,-37.541587619699,33,403.0,gas,CNI,NI,2007,   Genesis    Power    Ltd   ,0
Harapaki,Harapaki,HRP2201,HRP,1919004,5656316,176.693056,-39.183889,220,176.0,wind,CNI,NI,2024,   Meridian    Energy    Ltd   ,0
Hawera,Fonterra Dairy - Whareroa,HWA0331,HWA,1712537,5619536,174.310116683419,-39.566496504639,33,68.0,gas,LNI,NI,1966,   Todd    Energy   ,0
Junction Road,Junction Road,JRD1101,JRD,1919004,5656316,174.103595,-39.11684,110,100.0,gas,LNI,NI,2020,   Todd    Generation    Taranaki    Limited   ,1
Kawerau,Carter Holt Harvey Energy Ltd CoGen,KAW0111,KAW,1926530,5779125,176.722383861847,-38.076728903946,11,53.0,geothermal,CNI,NI,1966,   Carter    Holt    Harvey    Energy    Ltd   ,0
Kinleith,Kinleith,KIN0111,KIN,1852213,5760024,175.883086765926,-38.272441379801,11,40.0,gas,CNI,NI,1998,   TrustPower    Ltd   ,0
Kaikohe,Ngawha B,KOE1101,KOE,1673614,6082721,173.810631571789,-35.396161924573,110,31.5,geothermal,UNI,NI,2020,   Ngawha    Generation    Ltd   ,0
Kaponga,Kapuni,KPA1101,KPA,1698938,5634951,174.149543872007,-39.429303224997,110,25.0,gas,LNI,NI,1998,   Todd    Energy   ,0
Karapiro,Karapiro,KPO1101,KPO,1823029,5799542,175.537461493567,-37.924349394018,110,112.5,hydro,CNI,NI,1948,   Mighty    River    Power    Ltd   ,0
Linton,Tararua stage I,LTN0331,LTN,1823277,5523360,175.631393554087,-40.410452038357,33,36.0,wind,LNI,NI,1999,   TrustPower    Ltd   ,0
Matahina,Aniwhenua,MAT1101,MAT,1934456,5774722,176.814617066794,-38.113429289268,110,25.0,hydro,CNI,NI,1981,   Todd    Energy   ,0
Mangahao,Mangahao,MHO0331,MHO,1807281,5505363,175.448930173114,-40.576575256586,33,42.0,hydro,LNI,NI,1924,   King    Country    Energy    Ltd   ,0
Mckee,McKee,MKE1101,MKE,1715281,5672464,174.332969104936,-39.089336076641,110,100.0,gas,LNI,NI,2013,   Todd    Generation    Taranaki    Limited   ,1
Maraetai,Maraetai,MTI2201,MTI,1839802,5751482,175.744267461239,-38.352736363347,220,360.0,hydro,CNI,NI,1971,   Mighty    River    Power    Ltd   ,0
Nga Awa Purua,Nga Awa Purua,NAP2201,NAP,1876822,5721249,176.179300170578,-38.614108165015,220,144.0,geothermal,CNI,NI,2010,   Nga    Awa    Purua    JV   ,0
Ohakuri,Ohakuri,OHK2201,OHK,1869462,5744408,176.085969143807,-38.407966303515,220,109.0,hydro,CNI,NI,1962,   Mighty    River    Power    Ltd   ,0
Ohaaki,Ohaaki,OKI2201,OKI,1887000,5730455,176.292232241982,-38.528048097737,220,44.0,geothermal,CNI,NI,1992,   Contact    Energy    Ltd   ,0
Poihipi,Poihipi,PPI2201,PPI,1864742,5719918,176.041253165177,-38.629772226283,220,55.0,geothermal,CNI,NI,1997,   Contact    Energy    Ltd   ,0
Rotorua,Wheao and Flaxy,ROT0111,ROT,1882790,5772814,176.227040927696,-38.148250149956,11,24.0,hydro,CNI,NI,1982,   TrustPower    Ltd   ,0
Rangipo,Rangipo,RPO2201,RPO,1845189,5662388,175.837443122161,-39.153194090461,220,120.0,hydro,CNI,NI,1983,   Genesis    Power    Ltd   ,0
Stratford,Stratford Peaker 1,SFD0331,SFD,1713803,5645310,174.320457756666,-39.334150747444,33,106.0,gas,LNI,NI,2011,   Contact    Energy    Ltd   ,1
Tauhara,Tauhara,TAB0331,TAB,1874161,5715345,176.151111,-38.668056,33,174.0,gas,LNI,NI,2024,   Contact    Energy    Ltd   ,0
Tauranga,Kaimai 5,TGA0111,TGA,1875930,5819779,176.130869450065,-37.727715886518,11,42.0,hydro,CNI,NI,1972,   TrustPower    Ltd   ,0
Te Mihi,Te Mihi 1,THI2201,THI,1864970,5721335,176.043329412805,-38.616952280973,220,90.0,geothermal,CNI,NI,2014,   Contact    Energy    Ltd   ,0
Tokaanu,Tokaanu,TKU0331,TKU,1839960,5681601,175.770224473007,-38.981721323257,33,242.0,hydro,CNI,NI,1973,   Genesis    Power    Ltd   ,0
Tuia Forrest,Kaitawa,TUI1101,TUI,1960528,5696630,177.151398921204,-38.805354216673,110,36.0,hydro,CNI,NI,1948,   Genesis    Power    Ltd   ,0
NZ Windfarms,Tararua Wind Farm 3,TWC2201,TWC,1835550,5529228,175.773710004444,-40.354267210558,220,93.0,wind,LNI,NI,2007,   TrustPower    Ltd   ,0
Te Kowhai,Te Rapa,TWH0331,TWH,1789809,5821033,175.154138789807,-37.738327273869,33,48.0,gas,CNI,NI,1999,   Contact    Energy    Ltd   ,0
Woodville,Te Apiti,WDV0111,WDV,1842684,5533314,175.85606683278,-40.315456837217,11,90.0,wind,LNI,NI,2004,   Meridian    Energy    Ltd   ,0
Whirinaki,Whirinaki,WHI0111,WHI,1934795,5633613,176.886767473141,-39.3820619809,11,156.0,diesel,CNI,NI,2004,   Contact    Energy    Ltd   ,1
Wilton,Mill Creek,WIL0331,WIL,1747405,5431065,174.759556174567,-41.258396147901,33,60.0,wind,LNI,NI,2014,   Meridian    Energy    Ltd   ,0
Whakamaru,Mokai,WKM2201,WKM,1844481,5743971,175.800362745278,-38.419081880472,220,112.0,geothermal,CNI,NI,2000,   Tuaropaki    Power    Company   ,0
Waipapa,Waipapa,WPA2201,WPA,1834680,5758417,175.683407829782,-38.291660899856,220,54.0,hydro,CNI,NI,1961,   Mighty    River    Power    Ltd   ,0
Wairakei,Rotokawa,WRK0331,WRK,1870348,5720182,176.105463252824,-38.625705602471,33,36.0,geothermal,CNI,NI,1997,   Mighty    River    Power    Ltd   ,0
Waverley,Waipipi,WVY0111,WVY,1740109,5598256,174.635502581871,-39.75409738031,11,133.0,wind,LNI,NI,2020,   Genesis    Power    Ltd   ,0
Westwind,West Wind 1,WWD1102,WWD,1739027,5427096,174.660496103937,-41.295617834785,110,80.0,wind,LNI,NI,2009,   Meridian    Energy    Ltd   ,0
